doy,soil_resp,soil_temp,soil_moisture
146,2.8138,12.11,8.0182
147,3.532,12.24,8.8298
148,3.0834,11.9,8.1394
149,3.5025,12.47,7.604
150,4.0379,14.87,6.8784
151,4.1861,15.63,12.2553
152,4.9779,15.57,13.9832
153,4.9379,15.66,11.718
154,5.8575,15.65,13.1555
155,5.5382,15.24,15.6595
156,4.3497,14.2,14.3964
157,4.3087,13.36,12.5365
158,5.5262,14.74,11.2535
159,5.6207,15.71,10.9481
160,4.4844,14.72,9.8621
161,4.1633,14.15,8.7977
162,4.3219,14.27,7.813
163,4.3937,14.62,6.968
164,4.3407,15,6.2444
165,4.3853,15.45,5.6356
166,4.5492,16.02,5.1732
167,4.4991,17.12,4.7405
168,4.5518,17.59,4.5075
169,5.1891,18.35,4.4743
170,5.7578,17.9,9.9796
171,4.8781,16.58,8.2379
172,5.2683,16.43,7.3766
173,4.671,16.29,6.3003
174,4.2966,15.69,5.6619
175,4.3691,15.87,5.1133
176,4.6098,16.43,4.7183
177,5.309,17.35,4.5237
178,5.5043,17.9,4.4255
179,4.7751,16.8,4.5193
180,4.4163,16.06,4.668
181,4.0928,16.2,4.2988
182,4.1588,16.11,4.1573
183,4.2808,16.17,4.1287
184,4.733,16.64,4.1145
185,4.3367,17.24,4.1084
186,3.7426,16.78,4.1316
187,3.4865,16.68,4.0649
188,3.5282,17.24,3.9697
189,4.7743,18.37,5.1898
190,5.4951,18.74,7.7327
191,4.8745,17.97,7.1549
192,4.8276,17.62,8.7526
193,4.9428,17.33,7.161
194,4.8921,17.13,7.0241
195,5.2888,17.02,10.7704
196,6.1154,16.98,10.7963
197,6.0912,17.88,8.109
198,6.0438,18.23,6.7195
199,5.9157,19.18,5.1847
200,5.4625,18.82,4.6789
201,5.0827,19.15,4.3062
202,4.3979,18.57,4.278
203,3.9478,17.77,4.3601
204,3.611,17.38,4.3261
205,5.39,17.38,8.0145
206,6.2782,18.47,8.728
207,7.627,19.46,12.9166
208,7.6472,19.26,10.7153
209,7.1837,19.41,9.5174
210,7.1659,19.88,8.5839
211,8.5933,19.75,8.5776
212,8.6289,20.26,8.2001
213,7.7505,21.62,7.1219
214,7.8776,21.17,12.3886
215,7.5009,20.08,11.8589
216,7.9504,19.87,10.3206
217,6.7059,19.33,9.5241
218,7.036,19.85,8.4721
219,5.841,19.73,7.8975
220,5.4429,18.7,7.157
221,5.8445,18.58,6.4329
222,6.2018,18.5,5.8776
223,4.6892,17.6,5.5709
224,4.7922,16.73,5.259
225,5.1107,17.08,4.8375
226,5.8742,17.72,5.2497
227,4.8829,17.59,5.4539
228,5.1278,17.18,4.8473
229,5.2952,17.43,4.6292
230,5.6537,17.79,4.4733
231,5.9139,17.65,5.508
232,5.9398,17.11,6.0415
233,5.8415,17.06,5.2901
234,5.1946,17.39,4.7332
235,4.8951,16.91,4.565
236,4.8258,16.62,4.4802
237,4.8638,16.2,6.1745
238,6.1168,16.4,7.7733
239,6.5441,17.37,7.4959
240,6.6087,17.22,6.6596
241,6.074,17.35,5.9551
242,4.5127,16.98,5.4577
243,4.3928,15.95,5.0915
244,4.3127,15.65,4.7788
245,4.2434,15.99,4.4532
246,4.1877,16.2,4.3428
247,4.1796,16.65,4.2483
248,3.9699,16.95,4.1856
249,3.5437,16.63,4.3255
250,3.6673,16.26,4.3771
251,4.5039,16.69,4.9868
252,3.834,15.62,5.2106
253,4.2056,15.09,5.1655
254,4.5297,15.54,4.973
255,5.04,16.35,5.6439
256,5.3691,16.74,5.8418
257,5.9742,16.65,6.67
258,5.1793,15.74,6.0032
259,5.1409,15.59,5.5129
260,5.0658,16.01,5.0803
261,5.1709,16.49,6.0345
262,4.8829,15.63,6.446
263,4.9034,14.89,7.3028
264,5.67,14.73,6.8048
265,6.0103,15.03,6.5608
266,5.4631,15.22,6.9698
267,4.5862,14.33,10.0947
268,5.305,14.26,8.7041
269,5.3376,14.18,10.2863
270,4.9163,13.82,11.2387
271,4.3836,13.33,11.5646
272,3.9203,12.04,12.091
273,4.1468,12.07,11.5817
274,4.354,12.67,11.2599
275,5.0583,13.45,10.4373
276,6.3184,15.21,10.384
277,5.9365,15.48,12.5158
278,5.7303,14.88,11.41
279,4.6112,14.07,10.8598
280,3.9484,12.62,10.5224
281,3.7507,12.21,10.1356
282,3.2735,11.75,9.9645
283,3.3163,11.17,9.7844
284,3.9076,11.27,11.3571
285,3.7758,11.25,11.4485
286,4.2931,13.06,8.8229
287,4.2962,13.45,8.7127
288,3.887,12.87,9.2647
289,3.2864,12.07,9.1929
290,3.5749,11.23,9.2797
291,3.6217,11.46,9.3955
311,2.8056,6.46,11.2526
312,3.047,7.28,11.2015
313,2.8638,7.69,12.2343
314,2.3629,6.52,12.3968
321,1.8238,4.03,13.5602
322,1.812,4.06,13.1221
323,1.5821,3.87,12.8789
324,1.5502,3.57,12.6559
325,1.3728,3.43,12.3611
326,1.5122,3.76,12.1289
327,1.5836,4.15,11.9344
328,1.6321,4.2,11.795
329,1.8834,5.09,11.5272
330,1.8393,5.4,11.4422
331,1.9733,5.51,11.7231
332,2.003,5.03,14.1346
333,2.4625,6.53,14.632
334,1.638,5.27,14.4003
335,1.7256,3.66,13.9141
337,1.8338,3.13,13.2033
338,2.2409,2.91,13.1271
339,2.2127,2.96,13.1563
340,2.4219,2.68,13.1292
341,2.4758,2.65,13.1563
342,2.3344,2.6,13.1145
343,2.263,2.55,12.9683
344,2.2851,2.5,12.9709
346,2.1729,2.1,15.2378
347,1.6793,2.08,15.9398
348,1.7588,2.26,15.165
349,1.6265,2.92,14.8006
350,1.5905,2.72,14.0955
351,1.5283,3.22,13.5077
352,1.293,2.62,13.263
353,1.1855,2.08,12.963
354,1.0975,1.92,12.6622
355,1.1941,1.77,12.5079
356,1.5212,2.34,14.1411
357,1.2877,2.69,17.1426
358,1.2372,2.23,15.3043
359,1.3153,2.01,14.1885
360,1.1992,2.02,13.6301
361,1.0756,1.74,13.2273
362,1.0673,1.57,12.9231
363,1.0364,1.51,12.6708
364,1.2871,1.61,12.4513
365,1.3293,1.87,12.8793
